ts,stage,epoch,loss,time
"2026-07-02 17:11:35,548",1,1,1.0578,19.0
"2026-07-02 17:11:54,641",1,2,0.9693,18.6
"2026-07-02 17:12:14,355",1,3,0.9484,19.2
"2026-07-02 17:12:34,161",1,4,0.9339,19.3
"2026-07-02 17:12:53,985",1,5,0.9265,19.3
"2026-07-02 17:13:13,307",1,6,0.9176,18.8
"2026-07-02 17:13:33,156",1,7,0.9116,19.4
"2026-07-02 17:13:52,758",1,8,0.9059,19.1
"2026-07-02 17:14:12,754",1,9,0.9006,19.5
"2026-07-02 17:14:32,260",1,10,0.8956,19.0
"2026-07-02 17:14:50,330",1,11,0.8915,17.6
"2026-07-02 17:15:10,061",1,12,0.8864,19.2
"2026-07-02 17:15:28,872",1,13,0.8833,18.3
"2026-07-02 17:15:48,321",1,14,0.8784,19.0
"2026-07-02 17:16:06,897",1,15,0.8745,18.1
"2026-07-02 17:16:26,081",1,16,0.8717,18.7
"2026-07-02 17:16:45,535",1,17,0.8684,19.0
"2026-07-02 17:17:03,751",1,18,0.866,17.7
"2026-07-02 17:17:23,061",1,19,0.8643,18.8
"2026-07-02 17:17:42,228",1,20,0.8631,18.7
"2026-07-02 17:31:30,747",2,1,1.5847,828.0
"2026-07-02 17:46:47,856",2,2,1.6149,821.6
"2026-07-02 18:02:04,029",2,3,1.5164,820.2
"2026-07-02 18:17:20,228",2,4,1.2403,820.3
"2026-07-02 18:32:40,759",2,5,1.1887,824.4
"2026-07-02 18:47:58,483",2,6,1.139,821.7
"2026-07-02 19:03:14,565",2,7,1.09,820.5
"2026-07-02 19:18:29,593",2,8,1.0478,820.0
"2026-07-02 19:33:44,671",2,9,0.9933,820.2
"2026-07-02 19:49:00,165",2,10,0.9399,821.3
"2026-07-02 20:04:14,552",2,11,0.8795,820.4
"2026-07-02 20:19:30,676",2,12,0.8293,821.3
"2026-07-02 20:34:46,936",2,13,0.7787,821.0
"2026-07-02 20:50:04,545",2,14,0.7211,821.7
"2026-07-02 21:05:19,444",2,15,0.6777,819.4
"2026-07-02 21:20:37,015",2,16,0.6277,822.4
"2026-07-02 21:35:52,649",2,17,0.5878,821.1
"2026-07-02 21:51:08,966",2,18,0.5491,821.1
"2026-07-02 22:06:25,630",2,19,0.5141,822.6
"2026-07-02 22:21:41,276",2,20,0.4907,821.0
"2026-07-02 22:36:57,159",2,21,0.4592,820.0
"2026-07-02 22:52:14,870",2,22,0.4407,822.1
"2026-07-02 23:07:30,419",2,23,0.4233,820.5
"2026-07-02 23:22:45,202",2,24,0.4059,820.2
"2026-07-02 23:38:02,237",2,25,0.3956,822.0
"2026-07-02 23:53:19,144",2,26,0.3868,822.3
"2026-07-03 00:08:36,735",2,27,0.3789,823.0
"2026-07-03 00:23:52,842",2,28,0.3772,820.0
"2026-07-03 00:39:09,313",2,29,0.3717,820.9
"2026-07-03 00:54:26,454",2,30,0.3706,821.9
